Abendrothschule<br>Grundschule,Abendroth-GS@cuxhaven.de
Hauptschule Lehrte<br>,info@hauptschule-lehrte.de
Hauptschule Meinersen<br>,hauptschule@hs-meinersen.de
Hauptschule Munster<br>,hs.munster@web.de
Hauptschule Nikolaus Kopernikus<br>,info@hsnk-garbsen.de
Hauptschule Otterndorf<br>,info@hauptschule-otterndorf.de
Hauptschule Salzgitter-Thiede<br>,schulleitung@hs-thiede.de
Hauptschule Süd Buxtehude<br>,hauptschulesuedbuxthehude@t-online.de
Hauptschule Sophienstraße<br>,hs.sophienstrasse@braunschweig.de
Hauptschule Thuner Straße<br>,buero@hts-stade.de
Hauptschule Uetze<br>,hs-uetze@uetze.de
Hauptschule Vorsfelde<br>,schulleitung@hauptschule-vorsfelde.de
Hauptschule West<br>,sekretariat@hs-west-del.de
Hauptschule Wildeshausen<br>,hauptschule.wildeshausen@ewetel.net
Haupt- und Realschule Clausthal-Zellerfeld<br>,info@hrs-clz.de
Haupt- und Realschule Eschershausen<br>,brand@hrs-eschershausen.de
Haupt- und Realschule Königslutter<br>,schulleitung@hrskoenigslutter.de
Haupt- und Realschule Kreiensen<br>,sz-kreiensen@gmx.de
Haupt- und Realschule Loxstedt<br>,Sekretariat@hrs-loxstedt.de
Haupt- und Realschule Ritterhude<br>,sekretariat.hrs@sz-ritterhude.de
Haupt- und Realschule Saterland<br> Schulzentrum,info@hrs-saterland.de
Haupt-und Realschule Südbrookmerland<br>,info@hrs-suedbrookmerland.eu
Haupt- und Realschule Twistringen<br>,info@schulzentrum-twistringen.de
Hehlentorschule<br>Grundschule,GS-Hehlentor@t-online.de
Heideschule<br>Grundschule,info@heideschule.de
Heideschule<br>Grundschule,post@heideschule-schwanewede.de
Heiligengeistschule<br>Grundschule mit Föderschulklassen,info@heiligengeistschule.de
Heiligengeisttorschule<br>Grundschule,hgtschule@ewetel.net
Heiligenwegschule<br>Ganztagsschule,heiligenwegschule@gmx.de
Heilig-Geist-Schule<br>Grundschule f. Schüler kath. Bek,heilig-geist-schule@schulmail-os.de
Heinrich-Albertz-Schule<br>,schulleitung@evgs.de
Heinrich-Behnken-Schule<br>Oberschule,hrs.selsingen@t-online.de
Heinrich-Bokemeyer-Grundschule Immensen<br>,Grundschule-Immensen@lehrte.de
Heinrich-Christian-Burckhardt-Schule<br>Grundschule,grundschule.adelebsen@t-online.de
Heinrich-Grupe-Schule<br>Grundschule,schulleitung@hgs-rosdorf.de
Heinrich-Heine-Schule<br>Hauptschule,hhs@goettingen.de
Heinrich-Heller-Schule<br>,mail@hauptschule-isernhagen.de
Heinrich-Kielhorn-Schule<br>Grundschule,GS-Vallstedt@t-online.de
Heinrich-Luden-Schule<br>Grundschule,info@grundschule-loxstedt.de
Heinrich-Middendorf-Oberschule<br>Aschendorf,sekretariat@heinrich-middendorf-oberschule.de
Heinrich-Nordhoff-Gesamtschule<br>Integrierte Gesamtschule Wolfsburg,info@hng-wob.de
Heinrich-Roth-Gesamtschule<br>,sekretariat@igs-bodenfelde.de
Heinrich-Schüren-Schule<br>Grundschule,GS@schueren-schule.de
Heinrich-von-Kleist-Schule<br>Oberschule,sekretariat@heinrich-von-kleist-schule.de
Heinrich-von-Oytha-Schule<br>Oberschule Friesoythe,heinrich-von-oytha-schule@friesoythe.de
Heinrich-Wilhelm-Olbers-Grundschule<br>,GSOlbersstrasse@Hannover-Stadt.de
Heinz-Heyder-Schule<br>Grundschule,gs-buchholz@schwarmstedt.de
Heinz-Sielmann-Realschule<br>,sekretariat@hsr-dud.de
Heisterbergschule<br>Oberschule,heisterbergschule@hannover-stadt.de
Helene-Lange-Schule<br>Gymnasium,GY-Helene-Lange-Schule@Hannover-Stadt.de
Helene-Lange-Schule<br>Integrierte Gesamtschule,schulleitung@hls-ol.de
Hellwinkelschule<br>Grundschule,schulleitung@hellwinkelschule.de
Henning-von-Tresckow Grundschule<br>,mail@henning-von-tresckow-grundschule.de
Henriette-Breymann-Gesamtschule<br>Integrierte Gesamtschule,henriette-breymann-gesamtschule@lk-wf.de
Herbartgymnasium<br>,sekretariat@herbartgymnasium.de
Herbert-Jander-Schule<br>Hauptschule,info@hs.esens.de
Herderschule<br>Grund- und Hauptschule,herderschule.badpyrmont@t-online.de
Herderschule<br>Gymnasium,info@herderschule-lueneburg.de
Hermann-Allmers-Schule<br>Grundschule,sekretariat-hags@ewetel.net
Hermann-Allmers-Schule<br>Haupt- und Realschule,h-allmers-schule@ewetel.net
Hermann-Billung-Gymnasium<br>,info@hbg-celle.de
Hermann-Billung-Schule<br>Grundschule,herbigrundschule-sekretariat@t-online.de
Hermann-Billung-Schule<br>Grundschule,sekretariat@hbs-soltau.de
Hermann-Ehlers-Schule<br>Grundschule,hes-ol@t-online.de
Hermann Freye Gesamtschule<br>Integrierte Gesamtschule Dissen aTW,info@hfg-schule.de
Hermann-Gmeiner-Schule<br>Grundschule Landwehrhagen,hgs@staufenberg-nds.de
Hermann-Lietz-Schule<br>Gymnasium in freier Trägerschaft,spiekeroog@hl-schule.de
Hermann-Löns-Schule<br>Grundschule,gs.hermann-loens-schule@t-online.de
Hermann-Löns-Schule<br>Grundschule,hls-ue@t-online.de
Hermann-Löns-Schule<br>Grundschule,loens@htp-tel.de
Hermann-Löns-Schule<br>GS Grußendorf,gs.grussendorf@t-online.de
Hermann-Löns-Schule<br>Verlässliche Grundschule,info@hermann-loens-schule.lueneburg.de
Herman-Nohl-Schule<br>Grundschule,hns@goettingen.de
Hermann-Tempel-Gesamtschule<br>,sekretariat@htg-ihlow.de
Hermann-Tempel-Schule<br>IGS Ihlow,info@igs-ihlow.de
Hermann-von-Issendorf-Schule<br>Grundschule,Schule.Basdahl@t-online.de
Herschelschule<br>Ganztagsgymnasium,Herschelschule@Hannover-Stadt.de
Herzog-Ernst-Gymnasium<br>,heg-uelzen@t-online.de
Hüggelschule<br>Grundschule,info@hueggelschule.de
Hildburgschule<br>Integrierte Gesamtschule Rinteln,Verwaltung@Hildburgschule.de
Hildegard-von-Bingen-Gymnasium Twistringen<br>,info@gymnasium-twistringen.de
Hinrich-Wilhelm-Kopf-Schule<br>Grundschule,hinrich-wilhelm-kopf-schule@t-online.de
Hinrich-Wolff-Grundschule<br>,hinrich-wolff-schule@stadt-bergen.de
Hölty-Gymnasium<br>,sekretariat@hoelty-gymnasium.de
Hölty-Gymnasium Celle<br>,info@hoelty-celle.de
Höltyschule<br>Grundschule,hoelty@goettingen.de
Hümmling-Gymnasium<br>,sekretariat@huemmling-gymnasium.de
Hoffmann-V.-Fallersl.-Realschule<br>,info@realschulefallersleben.de
Hoffmann-von-Fallersleben-Schule<br>Grundschule,HvFallerslebenGS@t-online.de
Hoffmann-von-Fallersleben-Schule<br>Gymnasium,hvf@braunschweig.de
Hoheellernschule - Grundschule<br>mit Förderschulklasse Schwerpkt.Sprache,Hoheellernschule@t-online.de
Holbeinschule<br>Grundschule,info@holbeinschule.de
Honigmoor-Schule Epe<br>Grundschule Bramsche - Epe,gs-epe-bramsche@t-online.de
Hugo-Friedrich-Hartmann-Oberschule<br>OBS,sekretariat@hugo-schule.de
Humboldt-Gymnasium Bad Pyrmont<br> Offene Ganztagsschule,sekretariat@humboldt-gymnasium.de
Humboldtschule Hannover<br>Gymnasium,Humboldtschule@Hannover-Stadt.de
Humboldt-Schule Seelze<br>Realschule,humboldtschule-ltg@htp-tel.de
Hundertwassergrundschule Leeste<br>,sekretariat@gs-leeste.de
Huntetalschule Goldenstedt<br>Grundschule,Huntetalschule@goldenstedt.de
Igelschule Lüneburg<br>Grundschule,info@igelschule.lueneburg.de
IGS Achim<br>,info@igs-achim.de
IGS Augustfehn<br>,sekretariat.igsaugustfehn@ewe.net
IGS Aurich<br>,schulleitung@igs-aurich.de
IGS Badenstedt<br>,IGS-Badenstedt@Hannover-Stadt.de
IGS Bad Salzdetfurth<br>,info@igs-bad-salzdetfurth.de
IGS Barßel<br>,info@igs-barssel.de
IGS Bothfeld<br>,igs-bothfeld@hannover-stadt.de
IGS Bovenden<br>,info@igs-bovenden.de
IGS Bramsche<br>,kontakt@igsbramsche.de
IGS Büssingweg<br>mit gymnasialer Oberstufe,info@igs-buessingweg.de
IGS Buchholz<br>,info@igs-buchholz.de
IGS Burgstrasse Celle<br>,schulleitung@igs-celle.de
IGS Burgwedel<br>,info@igs-burgwedel.de
IGS Buxtehude<br>,sekretariat@gesamtschule-buxtehude.de
IGS Edemissen<br>,info@igs-edemissen.de
IGS Einbeck<br>,info@igs-einbeck.de
IGS Embsen<br>,info@iservigs-embsen.de
IGS Franzsches Feld<br>,igsff@braunschweig.de
IGS Fürstenau<br>,verwaltung@igs-fuerstenau.de
IGS Gifhorn<br>,peter.mende@igs-gifhorn.eu
IGS Hameln<br>,igs@hameln.de
IGS Hannover-Linden<br>Hannover-Linden,sekretariat@igs-linden.eu
IGS Hannover-Vahrenheide/Sahlkamp<br>Hannover-Vahrenheide/Sahlkamp, IGS-Vahrenheide-Sahlkamp@Hannover-Stadt.de
IGS Heidberg<br>,kontakt@igs-heidberg.de
IGS Helpsen<br>,kuhlmann@igs-helpsen.de
IGS Isernhagen<br>,verwaltung@igs-isernhagen.de
IGS Kreideberg<br>Lüneburg,info@christianischule.lueneburg.de
IGS Kreyenbrück<br>,sekretariat@igs-kreyenbrueck.de
IGS Krummhörn<br>,info@igs-krummhoern.de
IGS Lehrte<br>,igs@lehrte.de
IGS Lengede<br>,sekretariat@igs-lengede.de
IGS Lilienthal<br>,sekretariat@igs-lilienthal.de
IGS Lüneburg<br>,info@igs.lueneburg.de
IGS Marienhafe-Moorhusen<br>,info@igs-marienhafe.de
IGS Nienburg<br>,info@igs-nienburg.eu
IGS Obernkirchen<br>,igs-obernkirchen@t-online.de
IGS Osnabrück<br>,info@igs-osnabrueck.de
IGS Osterholz-Scharmbeck<br>,sekretariat@igs-ohz.de
IGS Oyten<br>,schulleitung@igs-oyten.eu
IGS Rodenberg<br>,mail@igs-rodenberg.de
IGS Rotenburg (Wümme)<br>,info@igs-row.de
IGS Salzgitter<br>,igs-salzgitter@t-online.de
IGS Sassenburg<br>,sekretariat@igs-sassenburg.de
IGS Schaumburg<br>,IGS.Schaumburg@t-online.de
IGS Schöppenstedt<br>,igs-schoeppenstedt@lk-wf.de
IGS Süd<br>Langenhagen,info@igs-sued.de
IGS Südstadt<br>,info@igs-suedstadt.de
IGS Seevetal<br>,schulleitung@igs-seevetal.de
IGS Springe<br>,info@igs-springe.de
IGS Stade<br>,sekretariat@gesamtschule-stade.de
IGS Stöcken<br>,igs-stoecken@hannover-stadt.de
IGS Wallstraße<br>Wolfenbüttel,igs-wallstrasse@lk-wf.de
IGS Wedemark<br>,info@igs-wedemark.de
IGS Winsen-Roydorf<br>,info@igs-winsen.de
IGS Wittingen<br>,info@igs-wittingen.de
Ilmenau-Schule Deutsch Evern<br>,sekretariat@gsdeutschevern.de
Ilse-Lichtenstein-Rother-Schule<br>Grundschule,ilrschule.riede@ewetel.net
Immanuel-Kant-Gymnasium Lachendorf<br>,info@gymnasium-lachendorf.de
Immanuel-Schule Bückeburg<br>,info@immanuel-schule-schaumburg.de
Immanuel-Schule<br>IGS,info@immanuel-schule-schaumburg.de
Immanuel-Schule Gifhorn<br>Grundschule in freier Trägerschaft,immanuelschule-gifhorn@t-online. de
Inselschule Borkum<br>Oberschule mit gymn. Angebot u. Förderz.,buero@inselschule-borkum.de
Inselschule Juist<br>Grund- und Oberschule,info@inselschule-juist.de
Inselschule Langeoog<br>Grund-Haupt-Realsch.m. Förderschule,info@is.langeoog.de
Inselschule Nordseebad Wangerooge<br>Gymnasium - Sek I -,info@inselschule-wangerooge.de
Inselschule Spiekeroog<br>Grund- und Oberschule,Inselschule@is.spiekeroog.de
Integrierte Gesamtschule am Everkamp<br>,schule@igs-am-everkamp.de
Integrierte Gesamtschule Brake<br>,sl@igsbrake.de
Integrierte Gesamtschule<br>Friesland-Süd,schulleitung@hrszetel.de
Integrierte Gesamtschule Delmenhorst<br>,sekretariat@igs-delmenhorst.de
Integrierte Gesamtschule Emden<br>,Schulleitung@igs-emden.de
Integrierte Gesamtschule Flötenteich<br>,igs-floetenteich@t-online.de
Integrierte Gesamtschule Friesland Nord<br>,Kontakt@igs-friesland.de
Integrierte Gesamtschule Garbsen<br>,info@igs-garbsen.de
Integrierte Gesamtschule Hannover-List<br>,IGS-List@Hannover-Stadt.de
Integrierte Gesamtschule Kronsberg<br>,igskronsberg@hannover-stadt.de
Integrierte Gesamtschule Langenhagen<br>,verwaltung@igs-langenhagen.de
Integrierte Gesamtschule Melle<br>,sekretariat@igsmelle.de
Integrierte Gesamtschule Moormerland<br>,verwaltung@igs-moormerland.de
Integrierte Gesamtschule Peine<br>,info@igs-peine.de
Integrierte Gesamtschule Querum<br>,buero@igsquerum.de
Integrierte Gesamtschule Roderbruch<br>,igs-roderbruch@hannover-stadt.de
Integrierte Gesamtschule Wilhelmshaven<br>,info@igs-whv.de
Internationale Schule Braunschweig-<br>Wolfsburg -Ergänzungsschule,is@cjd-braunschweig.de
International School Hannover Region<br>Int. Schule Hannover Region GmbH,adminoffice@is-hr.de
Internat Solling<br>- Staatlich anerkanntes Gymnasium -,info@internatsolling.de
Isetal-Schule<br>Grundschule,schule@isetal.de
Jacobson-Gymnasium<br>,jacobson-gymnasium.sekretariat@landkreis-goslar.de
Jade-Gymnasium<br>in freier Trägerschaft,info@jade-gymnasium.de
Jahnschule Diepholz<br>Hauptschule,jahnschule-diepholz@schulnet.diepholz.de
James Krüss Grundschule<br>,jameskruess-gs@t-online.de
 Janosch-Grundschule Augustfehn<br>,info@gs-janosch.apen.de
Janusz-Korczak-Schule<br>Grundschule,jks-duderstadt@t-online.de
Janusz-Korczak-Schule<br>Grundschule,korczak@goettingen.de
Jeetzel-Oberschule Lüchow<br>,obs-luechow@t-online.de
Johanna-Friesen-Schule<br>Grundschule,GSJohannaFriesenSchule@Hannover-Stadt.de
Johann-Beckmann-Gymnasium<br>,jbgymnasium.hoya@t-online.de
Johann-Comenius-Oberschule<br>,johann-comenius-oberschule@ewe.net
Johann Comenius Schule<br> Haupt- und Realschule,info@johann-comenius-schule.de
Johannes-Althusius-Gymnasium<br>,schulleitung@jag-emden.de
Johannes-Grundschule<br>,schulleitung-johannesschule@gsspelle.de
Johannes-Gutenberg-Schule<br>Grundschule,johannes-gutenberg-schule@ewetel.net
Johannes-Gutenberg-Schule HS Rühen<br>,info@hauptschule-ruehen.de
Johannes-Kepler-Gymnasium<br>,info@jkg-garbsen.de
Johannes-Kepler-Realschule<br>,Johannes-Kepler-Realschule@Hannover-Stadt.de
Johannesschule<br>Grundschule f. Schüler kath. Bek,gs-johannesschule@schulen-hildesheim.de
Johannes-Schule<br>Grundschule f. Schüler kath. Bek,info@johannes-schule-steinfeld.de
Johannesschule<br>Grundschule,johannesschule-rieste@t-online.de
Johannesschule Lingen<br>Grundschule,schulleitung@johannesschule-lingen.de
Johannesschule Meppen<br>Oberschule in kirchlicher Trägersch.,Johannesschule.Meppen@t-online.de
Johannes-Vincke-Schule Belm<br>Oberschule,obs@jovis-belm.de
Johanneum<br>Gymnasium,info@johanneum.lueneburg.de
Johann-Heinrich-Voss-Realschule<br>Realschule in Otterndorf,info@rsott.net
Johann-Hinrich-Pratje-Schule<br>Oberschule Horneburg,mail@oberschule-horneburg.de
Johannisschule<br>Grundschule,johannisschule.wallenhorst@t-online.de
Johann-Joachim-Quantz-Schule<br>Grundschule,sekretariat@gs-scheden.de
Johann Parum Schultze Schule<br>Grundschule Küsten,gskuesten@t-online.de
Johann-Peter-Eckermann-Realschule<br>,Eckermann-Realschule.Winsen@t-online.de
Johann-Peter-Hundeiker-Schule<br>Grundschule Groß Lafferde,verwaltung@gsgl.de
Johann-Wolf-Schule<br>mit Außenstelle Angerstein,schulleitung@johann-wolf-schule.de
Josefschule Emmeln, Haren<br>Grundschule,josefschule.emmeln@t-online.de
Josephinum<br>Gymnasium,buero@gymnasium-josephinum.de
Joseph-Müller-Grundschule<br>,vgs-joseph-mueller-schule@t-online.de
Joseph-Tiesmeyer-Schule<br>Grundschule,grundschule.emsbueren@ewetel.net
Jörg-Immendorff-Schule<br>Bleckede - Hauptschule,hs.bleckede@web.de
Julianum<br>Gymnasium,julianum@t-online.de
Julius-Rodenberg-Schule<br>Grundschule,Julius-Rodenberg-Schule@t-online.de
Julius-Spiegelberg-Gymnasium<br>,verwaltung@jsg-vechelde.de
Junker Harke Grundschule<br>,vgshkb@t-online.de
Kaiserin-Auguste-Viktoria-Gymnasium<br>,SL@KAV-Celle.de
Kaiser-Wilhelm- und Ratsgymnasium<br>,mail@kwr-hannover.de
Kantor-Helmke-Schule<br>Grundschule,khs@rotenburg-wuemme.de
Kantor-Wiebold-Schule<br>Grundschule,sekretariat@kantor-wiebold-schule.de
Kapitän-Koldewey-Grundschule Bücken<br>,verwaltung@gs-buecken.de
Kardinal-Bertram-Schule<br>Gemeinschaftsgrundschule m. christl. Profil,info@kardinal-bertram-schule.de
Kardinal-Bertram-Schule<br>Grundschule f. Schüler kath. Bek,KardinalBertram@Hannover-Stadt.de
Kardinal-Galen-Schule<br>Grundschule f. Schüler kath. Bek,kardinal-galen-schule@t-online.de
Kardinal-von-Galen-Schule<br>Oberschule,webmaster@kvg-meppen.de
Kardinal-von-Galen-Schule Dinklage<br>Grundschule f. Schüler kath. Bek,buero@kardinal-von-galen-schule.de
Karl-Nolte-Schule<br>Grundschule,Karl-Nolte-Schule@t-online.de
Karl-Soehle-Schule<br>Grundschule,Karl-Soehle-Schule@sg-hankensbuettel.de
Katharinaschule<br>Grundschule Wallenhorst,info@gs-katharina.de
Katharinenschule Bakum<br>Katholische Grundschule,katharinenschule-bakum@t-online.de
Katholische Grundschule<br>Holzminden,schulleitung.gs-karlstr@holzminden.de
Katholische Grundschule<br>Mittelsten-Thüle,gs.mittelsten-thuele@friesoythe.de
Katholische Grundschule Celle<br>,sekretariat@katholische-grundschule-celle.de
Katholische Grundschule Garrel<br>,VGS-Garrel@t-online.de
Katholische Grundschule Peheim<br>,grundschule.peheim@ewetel.net
Katholische Grundschule Petersdorf<br>,gs.petersdorf@gmx.de
Katholische Grundschule Rüschendorf<br>,grundschule_rueschendorf@ewe.net
Katholische Grundschule Schüttorf<br>,kath.gs.schuettorf@web.de
Katholische Grundschule St. Bernward<br>Lehrte,kontakt@st-bernward-schule.de
Katholische Grundschule St. Marien<br>Hude,Kath.GS-Hude@t-online.de
Katholische Grundschule St. Martin<br>,Kath.GS-St.Martin@stadt.wilhelmshaven.de
Keding Grundschule Kettenkamp<br>,grundschule-kettenkamp@t-online.de
Ketteler-Schule<br>Grundschule f. Schüler kath. Bek,kettelerschule@gmx.net
KGS Bad Lauterberg<br>,sekretariat@kgs-bad-lauterberg.de
KGS Bad Münder<br>,info@kgs-bm.de
KGS Gieboldehausen<br>Kooperative Gesamtschule,sekretariat@kgs-gieboldehausen.de
KGS Gronau<br>,info@kgs-gronau.de
KGS Moringen<br>,info@kgsmoringen.de
KGS Neustadt<br>Kooperative Gesamtschule Neustadt,schulleitung@kgs-neustadt.org
KGS Norderney<br>,schulleitung@kgs-norderney.de
KGS Osnabrück-Schinkel<br>,info@gss-osnabrueck.de
KGS Schneverdingen<br>,kgsinfo@t-online.de
KGS Sehnde<br> Kooperative Gesamtschule Sehnde,schulleitung@kgs-sehnde.de
KGS Stuhr-Brinkum<br>,sl.kgs-stuhr-brinkum@t-online.de
KGS Tarmstedt<br>Europaschule,kontakt@kgs-tarmstedt.de
Kirchschule<br>Verlässliche Grundschule,schulleitung@gs-kirchschule.de
Kirsten-Boie-Grundschule Wallhöfen<br>,grundschule-wallhoefen@web.de
Kleeblattgrundschule Markoldendorf<br>,gs.markoldendorf@t-online.de
Klütschule<br>Grundschule,sl.kluetschule@hameln.de
Kämmer International Bilingual School<br>,hannover@kaemmerinternational.de
Knister-Grundschule<br>,knister-grundschule@t-online.de
Kolleg St.Thomas<br>Gymnasium in freier Trägerschaft,kolleg.st.thomas@t-online.de
Konrad-Adenauer-Schule<br>,verwaltung@realschule-wedemark.de
Kooperative Gesamtschule Großefehn<br>,kgs-grossefehn@kgs-grossefehn.de
Kooperative Gesamtschule Hage-Norden<br>,info@kgshage-norden.de
Kooperative Gesamtschule Kirchweyhe<br>,schulleitung@kgs-kirchweyhe.eu
Kooperative Gesamtschule Leeste<br>,kgsleeste@t-online.de
Kooperative Gesamtschule Rastede<br>,schulleitung@kgs-rastede.de
Kooperative Gesamtschule Sittensen<br>,info@kgs-sittensen.de
Kooperative Gesamtschule Wiesmoor<br>,kgs-wiesmoor@ewetel.net
Kranichdammschule, Grundschule und<br>Förderschule Schwerpunkt Sprache,schulleitung@kranichdammschule.de
Kranich-Gymnasium<br>,buero@kranich-gymnasium.de
Kreisgymnasium St. Ursula<br>,sekretariat@kgsuhaseluenne.de
Kreisrealschule Overledingerland<br>Realschule Rhauderfehn,kreisrealschule.rhauderfehn@ewetel.net
Käthe-Kollwitz-Schule<br>Grundschule,kaethe-kollwitz-schule@ewetel.net
Käthe-Kollwitz-Schule<br>Gymnasium,gy-kks@hannover-stadt.de
Käthe-Kollwitz-Schule<br>Hauptschule,kks@goettingen.de
Kurt-Klay-Schule<br>Grundschule Lutter am Barenberge,kurt-klay-schule@t-online.de
Kurt-Schumacher-Schule<br>Grundschule,Schulleitung@kurt-schumacher-schule.de
Kurt-Schwitters-Gymnasium Misburg<br>,gykurt-schwitters@hannover-stadt.de
Lademann-Realschule<br>,mail@lademann-realschule.de
Lambertischule Aurich<br>Grundschule,schulleitung@lambertischule.aurich.de
Laurentius-Siemer-Gymnasium<br>,info@laurentius-siemer-gymnasium.de
Lüdingworther Schule<br>Grundschule,luedingworther.schule@web.de
Leezder Dörpschool<br>Grundschule Leezdorf,verwaltung@gs-leezdorf.de
Leibniz IGS<br>Langenhagen,verwaltung@rks-langenhagen.de
Leibniz-Realschule<br>,rs-leibniz@versus-wf.de
Leibnizschule<br>Gymnasium,Leibnizschule@hannover-stadt.de
Leinebergschule<br>Grundschule,Lbs@goettingen.de
Leine-Schule<br>Haupt- und Realschule Neustadt/Rbge.,schulleitung@leine-schule.de
Leinetal-Grundschule Friedland<br>Eine für Alle,gs-friedland@t-online.de
Leinetal Gymnasium & Realschule<br>Staatlich anerkannte Schulen in freier Trägerschaft,info@leinetalschulen.de
Leinetalschule<br>Grundschule,leinetalschule@pattensen.de
Leintorschule<br>Grund- und Hauptschule,ghs-leintor@t-online.de
Leonardo da Vinci<br>Grund- und Gesamtschule Wolfsburg,info@ldv-wob.de
Leonore-Goldschmidt-Schule<br>Integrierte Gesamtschule Mühlenberg,leonore-goldschmidt-schule@hannover-stadt.de
Lerchenschule<br>Grundschule Faßberg,verwaltung@schule-fassberg.de
Lernhaus im Campus<br>Oberschule Osterholz-Scharmbeck,lernhaus@osterholz-scharmbeck.de
Lessing-Gymnasium<br>,info@leg-uelzen.de
Lessinggymnasium<br>,info@lessinggymnasium.de
Lichtenberg-Gymnasium<br>,Schule@Lichtenberg-Gymnasium.de
Liebfrauenschule Cloppenburg<br>Gymnasium in freier Trägerschaft,sekretariat@ulf-clp.de
Liebfrauenschule Vechta<br>Gymnasium in freier Trägerschaft,sekretariat@liebfrauenschulevechta.de
Liesel Anspacher-Schule<br>,info@liesel-anspacher-schule.de
Lieth Schule<br>Oberschule mit gymn. Angebot,verwaltung@lieth-schule.de
Lindenschule Buer<br>,sekretariat@oberschule-buer.de
Linteler Schule Norden<br>,grundschule-lintel@norder-schulen.de
Lintler Geest-Schule<br>,gs-bb@Kirchlinteln.de
Liobaschule<br>Grundschule,info@liobaschule.de
Lisa-Tetzner-Schule<br>Oberschule Barsinghausen,info@schule-lisa-tetzner.de
Lise-Meitner-Gymnasium Neuenhaus<br>in Neuenhaus und Uelsen,sekretariat@lmg-neuenhaus.de
Lise-Meitner-Schule<br> KGS Stuhr - Moordeich,schulleitung@kgs-moordeich.de
Litje Skoule Skäddel<br>Grundschule Scharrel,grundschule.scharrel@ewetel.net
Liudger-Realschule<br>,liudger.rs.emsbueren@ewetel.net
Lönsschule<br>Realschule,info@loensschule.de
Lohbergschule<br>Grundschule,Lohbergschule@goettingen.de
Londy-Schule<br>Grund- und  Oberschule Rethem,gobs-rethem@t-online.de
Lothar-Meyer-Gymnasium<br>,verwaltung@lmg-varel.de
Lucas-Backmeister-Schule<br>Grundschule,schulleitung@lucas-backmeister-schule.de
Ludgerischule<br>Grundschule f. Schüler kath. Bek.,gs-ludgeri@stadt-helmstedt.de
Ludgerischule<br>Grundschule,ludgeri-schule@friesoythe.de
Ludgeri-Schule<br>Verlässliche Grundschule,vgs-ludgeri@t-online.de
Ludgerischule Groß-Hesepe<br>Grundschule,ludgerischule@geeste.de
Ludgerusschule<br>Grund-  und Oberschule,info@ludgerusschule-rhede.de
Ludgerus-Schule<br>Oberschule in kirchl. Trägerschaft,info@ludgerus-schule-vechta.de
Ludwig-Povel-Schule<br>Oberschule,lps@schulen-noh.de
Ludwig-Schriever-Grundschule<br>Lünne,gs-luenne@gmx.de
Ludwig-Windhorst-Schule Glandorf<br>Oberschule,info@lws-glandorf.de
Ludwig-Windthorst-Schule<br>Oberschule in kirchl. Trägerschaft,LuWiSchule@t-online.de
Ludwig-Windthorst-Schule<br>Oberschule Ostercappeln,info@lws-ostercappeln.de
Luhe-Gymnasium<br>,schule@luhe-gymnasium.de
LUKAS Schule<br>Freie christl. Schule im LK Diepholz,schule@lukasschule.de
Lutherschule<br>Gymnasium,gy-Lutherschule@hannover-stadt.de
Löwenzahnschule<br>Grundschule Moringen,VGSMoringen@t-online.de
Löwenzahnschule<br>GS Horstedt,info@loewenzahnschule-horstedt.de
Löwenzahnschule Dollbergen<br>,gs-dollbergen@t-online.de
Magister-Nothold-Schule<br>Grundschule Lindhorst,Grundschule-Lindhorst@web.de
Magister-Nothold-Schule<br>Oberschule, info@magister-nothold.de
Mahnteschule<br>Grundschule,GS.Mahnteschule@t-online.de
Maiburg-Grundschule Bippen<br>,gs.bippen@t-online.de
Manfred-Holz-Grundschule<br>,Manfred-Holz-Grundschule@t-online.de
Manfred-Pelka-Schule<br>,manfred-pelka-schule@t-online.de
Margret und Rolf Rettich-Schule<br>,sekretariat@rettich-schule.de
Maria-Montessori-Grundschule<br>Meppen,maria.montessori.grundschule@ewetel.net
Maria-Sibylla-Merian Grundschule<br>,info@merian-gs-fuhrberg.de
Marie Curie Schule<br>Kooperative Gesamtschule Ronnenberg,verwaltung@kgs.ronnenberg.de
Marienbergschule Nordstemmen<br>Oberschule m. Außenstelle,info@marienbergschule.de
Mariengymnasium Jever<br>,sekretariat1@mariengymnasium.eu
Mariengymnasium Papenburg<br>in freier Trägerschaft,Schule@MGPapenburg.de
Marienkäferschule Bahrdorf<br>Grundschule,posteingang@marienkaeferschule.de
Marienschule Barßel<br>,marienschule.barssel@t-online.de
Marienschule<br>Gymnasium in freier Trägerschaft,info@marienschule-hildesheim.de
Marienschule<br>Kath. Grundschule,marienschule@friesoythe.de
Marienschule<br>Oberschule in kirchl. Trägerschaft,marienschule@mslingen.de
Marienschule<br>Oberschule in kirchl. Trägerschaft,schulleitung@marienschule-ikt.de
Marienschule Delmenhorst<br>Katholische Grundschule,gs.marienschule@t-online.de
Marienschule Goldenstedt<br>Oberschule,rektor.marienschule@goldenstedt.de
Marienschule Haren<br>Grundschule,gs-marienschule@gmx.de
Marienschule Meppen<br>Grundschule,marienschule.meppen@t-online.de
Marienschule Oythe<br>Grundschule f. Schüler kath. Bek,verwaltung.oythe@gsoythe-vechta.net
Marienschule Schwagstorf<br>Kath. Schule in freier Trägerschaft,info@marienschule-schwagstorf.de
